source_id,cab,name,recovery_products,files
1436584839,CAB-1d1372ae2df0ba5732f6f1523467e0fb,native-object,scalar-full-source,1
1475924805,CAB-69ac775c5e438746585e16627ceb520c,Eff_RemielleOrigin_Skill05_AirState_Back_27_Trail,scalar-full-source|standalone-native,2
1475924805,CAB-69ac775c5e438746585e16627ceb520c,native-object,scalar-full-source,1
1523850217,CAB-04e4af7419c482a635f72fa1ca258d42,8989496986587551793,highest-quality,1
1523850217,CAB-04e4af7419c482a635f72fa1ca258d42,Avatar_Female_Size02_Remielle_PasSeul_Ani_Idle_Loop,scalar-full-source,1
1523850217,CAB-04e4af7419c482a635f72fa1ca258d42,acl-database-bulk,scalar-full-source,1
1523850217,CAB-04e4af7419c482a635f72fa1ca258d42,native-object,scalar-full-source,1
1523850217,CAB-04e4af7419c482a635f72fa1ca258d42,streaming-info,scalar-full-source,1
1523850217,CAB-07ef025a1ca730fc6b7cdab602cfae19,-7859734431836772985,highest-quality,1
1523850217,CAB-07ef025a1ca730fc6b7cdab602cfae19,Avatar_Female_Size02_Remielle_PasSeul_Ani_Evade_to_Run_01,scalar-full-source,1
1523850217,CAB-07ef025a1ca730fc6b7cdab602cfae19,acl-database-bulk,scalar-full-source,1
1523850217,CAB-07ef025a1ca730fc6b7cdab602cfae19,native-object,scalar-full-source,1
1523850217,CAB-07ef025a1ca730fc6b7cdab602cfae19,streaming-info,scalar-full-source,1
1523850217,CAB-0b10eb5048484095af52372785bdf153,-4130641420515559846,highest-quality,1
1523850217,CAB-0b10eb5048484095af52372785bdf153,Avatar_Female_Size02_Remielle_PasSeul_Ani_HitFly_Back,scalar-full-source,1
1523850217,CAB-0b10eb5048484095af52372785bdf153,acl-database-bulk,scalar-full-source,1
1523850217,CAB-0b10eb5048484095af52372785bdf153,native-object,scalar-full-source,1
1523850217,CAB-0b10eb5048484095af52372785bdf153,streaming-info,scalar-full-source,1
1523850217,CAB-0f97bf0a30419cdd53aebf87bc85f7f0,6580722672136368370,highest-quality,1
1523850217,CAB-0f97bf0a30419cdd53aebf87bc85f7f0,Avatar_Female_Size02_Remielle_PasSeul_Ani_Start_AirState_Back,scalar-full-source,1
1523850217,CAB-0f97bf0a30419cdd53aebf87bc85f7f0,acl-database-bulk,scalar-full-source,1
1523850217,CAB-0f97bf0a30419cdd53aebf87bc85f7f0,native-object,scalar-full-source,1
1523850217,CAB-0f97bf0a30419cdd53aebf87bc85f7f0,streaming-info,scalar-full-source,1
1523850217,CAB-10968be86815c2104d00211f7fbdda88,-6759752939614417531,highest-quality,1
